MES,Data,Grupos de usuários,Parceiro,compradores,comissão,cashback,vendas totais,porcentagem de cash back ATUAL,Ticket Médio,"porcentagem ""IDEAL""",lucro,,,,,,,,,,
janeiro,2011-01-01,Grupo 2,Parceiro A,200,$12.950,$6.475,$117.726,"50,00%",$589,50%,$6.475,,,,,,,,,,
janeiro,2011-01-01,Grupo 3,Parceiro A,248,$15.511,$10.717,$141.012,"69,09%",$569,60%,$4.794,,,DADOS,VENDA TOTAL POR GRUPO,TOTAL DE USUÁRIOS,TICKET MÉDIO,MÉDIA DE VENDA MENSAL,MÉDIA DE USUÁRIOS MENSAIS,LUCRO TOTAL,MÉDIA % DE CASH BACK
janeiro,2011-01-01,Grupo 3,Parceiro A,145,$8.137,$5.871,$73.975,"72,15%",$510,,$2.266,,,GRUPO 1,"R$ 5.469.000,00","9.633,00","R$ 586,00",R$ 1.823.000,3.211,,"35,90%"
janeiro,2011-01-02,Grupo 1,Parceiro A,196,$10.273,$3.267,$93.390,"31,80%",$476,,$7.006,,,GRUPO 2,"R$ 6.333.000,00","10.814,00","R$ 595,00",R$ 2.111.000,3.605,"R$ 352.143,00","49,70%"
janeiro,2011-01-02,Grupo 3,Parceiro A,153,$11.038,$8.027,$100.341,"72,73%",$656,,$3.010,,,GRUPO 3,"R$ 6.700.000,00","11.410,00","R$ 594,00",R$ 2.233.333,3.803,"R$ 259.560,00","60,00%"
janeiro,2011-01-02,Grupo 1,Parceiro A,115,$7.555,$2.060,$68.682,"27,27%",$597,,$5.495,,,,,,"0,4","0,9","0,9","0,1",1
janeiro,2011-01-03,Grupo 3,Parceiro A,185,$12.225,$8.869,$111.136,"72,54%",$601,,$3.356,,,,,,,,,,
janeiro,2011-01-03,Grupo 2,Parceiro A,118,$7.338,$3.669,$66.707,"50,00%",$565,,$3.669,,,,,,,,,,
janeiro,2011-01-03,Grupo 3,Parceiro A,219,$13.204,$9.576,$120.033,"72,53%",$548,,$3.627,,,,,,,,,,
janeiro,2011-01-04,Grupo 2,Parceiro A,127,$7.750,$3.875,$70.457,"50,00%",$555,,$3.875,,,,,,,,,,
janeiro,2011-01-04,Grupo 2,Parceiro A,181,$10.628,$5.331,$96.620,"50,16%",$534,,$5.297,,,,,,,,,,
janeiro,2011-01-04,Grupo 1,Parceiro A,82,$4.839,$1.358,$43.993,"28,06%",$537,,$3.481,,,,,,,,,,
janeiro,2011-01-05,Grupo 2,Parceiro A,230,$14.247,$7.123,$129.517,"50,00%",$563,,$7.123,,,,,,,,,,
